,wght_W_layer_0,wght_W_layer_1,wght_W_layer_2,wght_W_layer_3,wght_W_layer_4,wght_W_layer_5,wght_W_layer_6,wght_W_layer_7,wght_W_layer_8,wght_W_layer_9
wght_W_input_0,-0.43660642997908483,0.4119810855083987,0.22771091479365285,-0.1794135386719909,0.056620204769124466,0.10494285452742112,-0.059363076979819615,0.10812831024902504,-0.3691589971892364,-0.03450276477497602
wght_W_input_1,-0.17874431150730544,0.21583469591711307,-0.28498261014600357,-0.009084334295611616,0.014361847286517331,-0.12687013014340856,0.5093862527369782,-0.5011923189308665,0.34782931740482786,-0.17120058241637198
wght_W_input_2,-0.03208002284890036,-0.11822212141700389,0.3948424183873398,0.006005557715060545,-0.9110762366493063,0.4485987150473141,-0.36783317811694144,1.0728198319220803,-0.12201601507674095,-0.3704231116409199
wght_W_input_3,-0.07733950932150878,0.6499817079753201,0.1365879005425382,0.24709682297549757,-0.25121269015986014,-0.10677061290763747,0.016918705434270872,-0.4989711661491521,-0.16589006271921053,-0.3551479983361843
wght_W_input_4,-0.3455051200221368,0.3454096836300849,0.4159922649803761,-1.2716073852649707,0.28537896998379647,-0.5796007298492417,0.4494462820018692,-0.6240933074114982,0.31203684275498944,1.1109255774188365
wght_W_input_5,-0.16528957157376808,0.045456222788925645,-0.4178599720937045,0.28420284742535673,0.143122605416423,-0.09020043463175764,0.014869501900915105,0.5242630237036278,-0.02310014950805622,0.05071766749820971
wght_W_input_6,-0.24148286131333344,0.5466072274770631,-0.2106011452072481,-0.22086333383927845,0.4595283780181379,-0.09588196104960814,-0.38459108982442164,0.06089454942451777,-0.2664281859005204,-0.16910871145198272
wght_W_input_7,0.47442547984749117,0.03526294180349153,-0.07805633434579877,-0.14439563475203723,-0.5468149845484638,0.5387662789863734,0.07062120854686062,0.6904630695987126,-0.8171747111550111,-0.5754668582746061
wght_W_input_8,-0.39768500415861424,-0.10579200429476195,0.1266825784312989,-0.3407579600730462,0.3626712380496295,1.1207175256847985,0.1908040120626806,-0.023115803795561305,-0.6791303851575364,-0.025918361264557876
wght_W_input_9,-0.21532577941473807,-0.03592024580566488,1.1810434460876424,0.4174159338576884,0.05683052676064389,0.1231988257045101,-0.15583442677429865,0.10791113495289455,-0.45561396561207884,-0.721113866117339
wght_W_input_10,-0.10505340056300447,-0.19116080844773173,0.15159320545755314,0.1582376628723512,0.07634707830063567,-0.05442993148388704,-0.27127832482709535,0.024541964253371174,0.24699542534481758,-0.045022878482365976
wght_W_input_11,-0.4938474684178694,0.5069287193075144,0.5792909940614331,-0.6766229074781756,0.016088391479269368,0.08467033735094075,0.13437562527159816,-0.0007141353531328695,-0.3409206793899602,-0.09654097198069776
wght_W_input_12,-0.14478627163998123,-0.5989392220336016,0.06792229272706718,0.5975304878561226,0.1204110544573458,0.1917294227073742,-1.12002166583149,0.7248905934708966,-0.3116475482604798,0.06601967080833634
wght_W_input_13,-0.28178082413709893,-9.545785714611143e-05,0.6344551907933959,-0.10065457697414766,-0.21800711349369245,-0.06182577453681607,-0.06382019351183374,-0.17901355134208902,0.13467915024842633,-0.11308333285379799
wght_W_input_14,-0.2086904199831949,0.49854054072164566,0.30775762365729775,0.8265936762336328,0.433118119042151,-0.9149697597546349,-0.790042456598931,0.05113089483583243,-0.9033923104806445,0.12058329526696919
wght_W_input_15,0.6248827360910312,-0.6043927140605974,-0.005031747694065439,0.21905960794858295,-0.45208239783901033,-0.17667121269224714,-0.31676270226376474,0.4298020518124108,-0.13786893592022567,0.34793323045889246
wght_W_input_16,0.5835348887767854,-0.41053398512803285,-0.053273345426122824,-0.679993948676511,0.3220323202836978,-0.09278981896654262,0.6947725755589255,0.1807740882735674,-0.3932325949569869,-0.02263932608086706
wght_W_input_17,-0.4541974999833541,-0.5170807210022597,0.6973115406393291,-0.4729611445981259,0.9281782256565131,0.6407903967486033,-0.05214232304142652,0.02410974081407439,-1.1020195739261658,0.41141451534147366
wght_W_input_18,0.1460461457126174,-0.15498166148634193,0.5913779903297443,0.08229712506331999,0.2955083725911969,-0.4617147857036892,0.5805446121538153,-0.35424656089291723,-0.01961543192510858,-0.9814314678949219
wght_W_input_19,-0.23791631167750424,-0.23213640026444993,-0.2620314695214138,0.3496603990978686,-0.2824960652837882,-0.33695841513086505,0.24684729310000258,0.03851262769415798,-0.3123917157155346,0.512344806703512
wght_W_input_20,0.17060223632392119,0.3281290398793953,0.6886781784292298,-0.6784545631373308,0.10205669688675158,-0.7915851060039357,-0.12134075397499933,0.07530393195950846,0.42339593945544257,-0.19358902436859904
wght_W_input_21,-0.044843966050106154,-0.2967937085286799,0.22115398551103563,0.6309025410843851,-0.24518067833365664,0.29621208617396466,-0.42939546618560054,0.6903358047524698,-0.12267801546016989,-1.0031662537546557
wght_W_input_22,-0.2148917948607467,-0.017991229010950245,-0.5035661334703253,-0.6882025828158462,0.6150531941658094,-0.01989113238975725,0.6567555546425214,-0.07283086237672382,0.05245141176623174,0.3172406375306954
wght_W_input_23,-0.06488260246328721,0.41070375716867596,0.7740876537630234,-0.02706960208173277,0.05741071628429483,-0.231419993056137,0.053351981214364706,0.9296858452608846,-0.950624587725441,-0.8661091786490942
wght_W_input_24,-0.11551526646998993,0.04001601683084941,0.8559982913086295,0.30079637556965527,0.3992044919433443,-0.2132484315669854,-0.2169706656794054,-0.006983731783987145,0.25063206726902476,-1.3611426765334975
wght_W_input_25,-0.13303405852031203,0.02267007477941734,0.03441867070656874,-0.07908045860330752,-0.10751878603541343,0.08073112007671934,0.3317917699748757,-0.06619390057153131,0.17752873326085233,0.21539920221015155
wght_W_input_26,0.574929645168279,0.5839001098745955,-0.30560627496360854,0.18807756447781346,0.5091640946796141,-0.2992130125849842,0.08539789924091702,-0.047936029183181406,-0.849161329899865,-0.7680223425917557
wght_W_input_27,0.5488986037419243,-0.40690621878991534,0.43737571607627307,-0.09063731889702162,0.2693603227448799,-0.5394986936425893,0.21301599214588043,0.09774166459458926,-0.6007436444165862,-0.24913678609272216
wght_W_input_28,0.1804508507890668,-0.4976720612420147,-0.36528140999548464,-0.47132894802845815,0.5477235664305045,0.31221601811955985,0.29263913334938274,-0.3458242088787992,0.597021570130745,-0.6692448195843523
wght_W_input_29,0.24039344691841186,-0.07048152025904826,0.3246506271875742,0.06753063797716131,0.39399966842292217,-0.037219578693320376,-0.7944089178569478,0.16192510864527998,0.25488295325779886,0.0587330345822901
wght_W_input_30,0.14213456153824536,0.46906155691977997,0.24714960889763385,0.23572811021652007,0.38762405160889707,-0.5566464324222788,-0.4878420839622253,0.5056217996223704,-1.3534834917498388,0.33004441397462875
wght_W_input_31,-0.7379369909422521,0.7764587815565082,0.1635240020694128,0.10976298428132199,0.5664951123275566,-0.32039116247302746,-0.04804544664497544,-0.30521937756545986,0.07455395939699155,0.08387120836711741
wght_W_input_32,0.12540787041722515,0.04774069179102229,-0.39569736438111924,-0.5013263851044351,0.2807096690719499,0.849922155705932,-0.3972194660590401,0.5313375638665644,-0.5494089445790653,-0.17254411018271387
wght_W_input_33,-0.41830097367812724,-0.5028659610857952,-0.2620498788319344,-0.390765604405584,0.4444901802094752,-0.43154170424547883,0.7065658996337058,0.027833315721319862,0.4277454992524135,-0.22655269516311455
wght_W_input_34,0.03128340140421902,-0.06978318064017813,0.05860963585403868,-0.36818371379130166,-0.22487550602400908,0.49096368948427405,0.36355559765562506,-0.29763819450622003,0.13598030828890303,-0.23754348029688283
wght_W_input_35,-0.06082215185297514,-0.24793913361513686,-0.18766336423582902,0.057255171406196,-0.08878679513771974,-0.01387591876006144,-0.05807001116321295,-0.07585184849087181,0.030777923737838633,0.17466538443644908
wght_W_input_36,0.045475393672121195,-0.19378385152811564,0.017809076137187824,0.07276290451900273,-0.5891766027674241,0.12584833442236315,-0.10318916649475653,0.09127913777615276,0.10769914285905346,0.36252056753169826
wght_W_input_37,-0.15942340130212307,-0.27042366647115723,0.2853947921449879,0.5345740905436639,-0.304753207396342,0.880699885804695,-0.49298321689162855,-0.6037754414669105,0.7270083688807777,-0.12950966157449945
wght_W_input_38,0.3153497213729523,0.4477978733834389,0.13757673704839335,-0.5060585683337716,-0.2955870975327006,-0.30701304115349204,-0.36006709048653934,-0.34138928183713674,0.7815983456980845,0.35255318364641725
wght_W_input_39,-0.06142105194913251,0.5945881265907452,-0.1825266330122126,0.4228105879498427,-0.02919458068134513,0.005059827128704209,-0.34579490679713704,0.0785111360728651,0.13604443708663888,-0.25358442733094666
wght_W_input_40,-0.07835320409015165,-0.09155055733544927,0.5550799653687168,0.1285096862868727,-0.2922767863698328,0.29839637435003663,0.04545724002101943,0.49293431227974327,-0.6355918815567493,-0.139363281006946
wght_W_input_41,0.24642708811574707,-0.3396611710310163,0.20440909609236432,-0.10256383586612298,0.1597723037841447,-0.15735397741757112,-0.1710734118091836,0.45155635591353344,-0.13735824843363845,0.18027482327919572
wght_W_input_42,-0.0983218237592328,0.10030311484011607,0.14039441771632508,-0.09190482601920096,0.03725254536277831,0.10329493162198618,0.020597196243186736,-0.06841682721821145,-0.16031804926156037,-0.08779721123760771
wght_W_input_43,-0.09044244192955522,0.11291929839353555,-0.28909827358991236,0.5834590317952116,0.042235740401573275,0.36326044710426714,-0.6924215140179772,-0.3836370840299839,0.3177843478117241,0.013467502789709868
wght_W_input_44,0.020166610948912447,0.1137102774303382,-0.007444279148483936,-0.03676502615550222,0.025936003648708485,-0.16780767604430932,0.11252114423672371,0.06893877558490305,-0.07343451446884494,-0.002938325122642234
wght_W_input_45,0.26405316152102765,0.045419190332397434,-0.3354169639064373,-0.12899584646268825,0.7937338050999685,0.7206401178574029,-0.3033300506758323,0.20478658595111088,-0.2984975094489258,-0.8960308336556824
wght_W_input_46,0.3844685874552523,0.1655745186585712,0.22560354628011683,-1.1308633566963122,-0.273722737169418,-0.004656387912540375,0.6097072133705537,-0.02154110552909545,1.0784892281163314,-0.829694113926257
wght_W_input_47,0.5646898812794889,-0.022288882010698112,-0.23502335232741547,-0.07018534460700344,-0.08181283896224907,-0.4877058799385978,0.1647440031817504,0.5941837831437443,0.029322774173401612,-0.022731846294148962
wght_W_input_48,0.2608534850190763,0.02492051765956273,0.013566770537116319,-1.0531914031099612,1.102846959801125,0.1631279568045852,-0.26482634797013643,0.4494285204910382,0.11813798344010148,-0.9612302913237909
wght_W_input_49,0.15816383173865753,0.1377577543121611,-0.008879280884837882,0.007720537737366657,0.06533634820434522,-0.2619382329783591,0.18646324240722886,-0.06905136099107768,-0.25963227587377297,0.13850957942597922
wght_W_input_50,0.4706735724740925,0.4723527953063783,0.4961311999182791,-0.0034132019257120485,0.6525949479032945,-1.581122353148221,0.3136910353701417,0.5110593543017059,-0.132177256471315,-0.4781034408651962
wght_W_input_51,-0.5060988560339202,0.23535498235864447,1.0682127424144263,0.14140147951218457,-0.6071458018766457,-0.2701632841227038,-0.46735453561563883,0.4427090621951301,0.20625208995682293,-0.5710113461458186
wght_W_input_52,-0.06864105607449789,-0.44015271226577873,0.18000614861787123,-0.5925644110503078,-0.717181534319574,1.1455094694295118,0.0689389733183978,-0.032179724287668965,-0.1888336781442238,0.30621401703996554
wght_W_input_53,0.03582363660703104,-0.06299268364762105,0.8041661558090724,-0.4228693975343999,0.2717290252130295,-0.698937945355894,0.4005267142633442,0.010597377605882821,-0.8699782370833015,0.1326183779202051
wght_W_input_54,-0.42718994666682214,-0.4819227227702815,-0.12778541695846168,-0.06084489830943607,-0.14075504767406516,0.136006488447195,-0.6991700068772408,0.5430214111064212,0.19998941431474318,1.0249654197914082
wght_W_input_55,0.1298522964367484,-0.07066049212714079,0.6309200045907435,0.11486243128122364,-0.21032908569428943,0.8996246246753888,-0.005908406298727192,-0.27937402927783767,-0.6801906405095046,-0.2698655337819228
wght_W_input_56,-0.17757331036346133,-0.21009325380521554,-0.2947682697994991,-0.19319729023970883,-0.2160080687724082,0.1847231037453677,-0.15815412482266253,0.38698078391108287,-0.04661634382272974,0.731622059810216
